id,cntry,stflife,happy,fltsd,fltdpr,enjlf,wrhpp,fltanx,fltpcfl,dclvlf,lchshcp,accdng,tmimdng,tmabdng,tmendng,dngval,sedirlf,optftr,lotsgot,pstvms,flrms,wrbknrm,deaimpp,flteeff,slprl,cldgng,enrglot,ppltrst,pplfair,pplhlp,pplahlp,flclpla,inprdsc,flapppl,rehlppl,fltlnl
12391,HU,1,1,3,3,1,2,3,2,3,2,4,5,5,5,3,2,4,2,4,3,3,2,3,3,3,2,3,1,1,2,1,1,5,3,3
12392,HU,4,8,1,2,3,3,2,3,2,3,2,7,7,7,3,7,3,2,3,4,3,5,2,2,1,3,4,1,2,5,1,,9,6,1
12393,HU,10,9,1,1,4,3,2,4,1,5,1,10,10,10,1,8,1,2,1,4,4,5,1,1,1,4,5,4,5,6,1,1,8,5,1
12394,HU,0,2,2,2,2,1,3,1,3,3,4,4,5,3,5,2,4,1,3,3,3,0,2,3,2,2,3,4,5,4,1,3,7,4,1
12397,HU,3,4,2,1,3,3,2,3,1,3,3,7,7,7,3,5,3,2,3,4,3,5,1,2,1,3,5,4,4,6,1,3,8,6,1
12399,HU,5,5,1,2,2,2,1,4,2,1,1,8,8,8,2,6,3,2,3,5,4,5,2,2,1,2,2,2,2,0,3,2,8,6,2
12400,HU,3,2,2,2,2,2,2,2,3,2,3,5,5,5,,2,4,2,4,3,3,1,2,2,2,2,3,3,2,4,2,3,6,6,2
12402,HU,6,5,2,2,4,3,2,3,1,3,2,10,10,10,1,7,2,2,2,4,4,6,1,2,1,3,3,3,2,6,1,3,8,6,1
12403,HU,5,5,1,2,3,3,2,3,2,3,2,7,7,7,3,5,3,2,3,4,4,5,2,2,1,2,3,3,8,6,2,2,7,5,1
12404,HU,5,4,2,2,2,2,1,3,2,3,2,7,7,7,3,,3,3,3,3,3,4,2,2,1,2,6,2,2,5,1,2,6,4,1
12406,HU,8,8,1,2,4,4,1,4,3,4,2,10,10,10,2,10,2,2,2,4,3,6,1,1,1,3,7,5,6,6,1,4,9,6,1
